chindi,cenglish
क्या आपने अपनी यूसेज में कोई रीसेंटीयह चंगेस देखे हैं जैसे ज़्यादा स्ट्रीमिंग या डाटा उसे? मेन्टल हेल्थ केयर का एक ज़रूरी हिस्सा है.,That's an important aspect of mental health care.
अगर आपको मेडिकेशन मैनेजमेंट के लिए साइकेट्रिस्ट से कंसल्ट करना है तोह यह आपके बिहेवियरल हेल्थ कवरेज के अंदर आता है.,"If you need to consult with a psychiatrist for medication management, it falls under your Behavioral Health Coverage."
यह याद रखें की आपको अपने प्राइमरी केयर फिजिशियन से रेफरल की ज़रुरत हो सकती है.,Keep in mind you may need a referral from your primary care physician.
और जो भी मेडिकेशन्स प्रेस्क्रिबे किये जायेंगे वह आपके प्रिस्क्रिप्शन ड्रग बेनिफिट्स के अंदर आएंगे.,And any medications prescribed will be subject to your prescription drug benefits.
मैं समझ सकता हूँ आपको कैसा महसूस हो रहा है सर.,"I understand how you feel, sir."
आपके पेशेंस के लिए फिर से धन्यवाद.,Thank you again for your patience.
मैं आपको जल्दी ही एक ईमेल भेजूंगा जिसमे रिप्लेसमेंट और रिटर्न  प्रोसेस के सभी डिटेल्स होंगे.,I'll send you an email shortly with all the details about the replacement and the return process.
अगर इस बीच कोई और मदद चाहिए हो तोह बिना झिजक हमसे संपर्क करें.,"If there is anything else you need in the meantime, please don't hesitate to reach out."
मैं प्रोग्रेस पर नज़र रखूंगा ताकि आपको फॉलो- उप करने की ज़रूरत न हो.,I'll be keeping an eye on the progress so you don't have to follow up.
समझ गया.,I see.
आपके पास किसी भी देंय की गयी क्लेम या कवरेज डिसिशन पर अपील करने का हक़ है.,You have the right to appeal any denied claim or coverage decision.
इसके लिए आपको अपील के लिए लिखित रिक्वेस्ट देनी होगी साथ ही कोई सपोर्टिंग डॉक्यूमेंटेशन जैसे की आपके डॉक्टर का लेटर जो प्रोसीजर की मेडिकल नेसेसिटी को एक्सप्लेन करता हो.,To do so you'll need to submit a written request for appeal along with any supporting documentation such as a letter from your doctor explaining the medical necessity of the procedure.
आप हमारी वेबसाइट से अपील फॉर्म डाउनलोड कर सकते हैं.,You can download the appeal form from our website.
स कई तरह के मेडिकल सर्विसेज कवर करता है जैसे की प्रेवेन्ततिवे केयर डॉक्टर की विजिट्स और प्रिस्क्रिप्शन मेडिकेशन्स.,"C covers a wide range of medical services including preventative care, doctor's visits, and prescription medications."
इसमें आउट- ऑफ़- पॉकेट कॉस्ट्स भी काम हैं.,It also has low out-of-pocket costs.
इसका मंथली प्रीमियम दुसरे प्लान्स से ज़्यादा है लेकिन अगर आपको फ्यूचर में काफी मेडिकल केयर की ज़रूरत हो सकती है तोह यह ाचा चॉइस हो सकता है.,"The monthly premium is higher than the other plans, but it may be a good choice if you anticipate needing a significant amount of medical care in the future."
फैंटास्टिक! मैं खुश हूँ की हम सब कुछ ठीक कर पाए.,Fantastic! I'm happy we could get everything sorted out.
एक छोटी सी याद दिलाने के लिए आपका अगला रिन्यूअल अगले साल १५ मार्च को होगा.,"Just a quick reminder, your next renewal will be on March 15th next year."
और आपको उससे पहले रिमाइंडर मिल जायेगा.,And you'll receive a reminder before then.
अगर आपको कोई सवाल हो या आप अपनी सब्सक्रिप्शन में कोई चंगेस करना चाहें तोह हमेशा हमसे संपर्क करें.,"If you have any questions or want to make changes to your subscription at any time, feel free to contact us."
हम हमेशा मदद के लिए यहाँ हैं.,We are always here to help.
मुझे सच में अफ़सोस है की इससे प्रॉब्लम सोल्वे नहीं हुई.,I'm really sorry that didn't resolve the issue.
यह बिलकुल लगता है की आपने अपनी तरफ से सब कुछ सही किया है.,It definitely sounds like you've done everything right on your end.
अब लगता है की थर्मोस्टेट में हार्डवेयर इशू हो सकता है जिसे हम रिमोटली ठीक नहीं कर पाएंगे.,"At this point, it seems like the thermostat may have a hardware issue that we won't be able to fix remotely."
मुझे आपका आर्डर देखना होगा ताकि देख सकू की क्या आप अभी भी वारंटी पीरियड के अंदर हैं.,Let me review your order to check if you're still within the warranty period.
शुक्रिया मिस ली.,Thank you Miss Lee.
ठीक है मैंने आपका रिक्वेस्ट प्रोसेस कर दिया है और आप अब हार्डशिप प्रोग्राम में शामिल हो गए हैं.,"Okay, I've processed your request and you are now enrolled in the hardship program."
इस महीने का आपका पेमेंट माफ़ कर दिया गया है और आपको कोई लेट फीस या इंटरेस्ट नहीं लगेगा.,Your payment for this month will be waived and you will not be charged any late fees or interests.
लेकिन यह याद रखना ज़रूरी है की आपको पूरा बैलेंस पाय करना होगा.,"However, it's important to remember that you will still be responsible for paying the full balance."
अब डाटा यूसेज के बारे में आपने कहा की आपका यूसेज आपके ट्रिप के दौरान नार्मल से ज़्यादा था तोह यह एक बार का इशू हो सकता है.,"Now about the data usage since you mentioned that your usage was higher than normal during your trip, this might have been a one-time thing."
लेकिन अगर आपको लगता है की आपकी डाटा की ज़रूरत फ्यूचर में बढ़ सकती है तोह मैं हमारे करंट प्लान्स को रिव्यु कर सकता हूँ जो ज़्यादा डाटा लिमिट्स के साथ हैं ताकि आपको एक्स्ट्रा चार्जेज से बचाया जा सके.,"However, if you think your data needs might increase in the future, I can review our current plans with higher data limits to help you avoid additional charges."
मुझे यह सुनकर बहुत अफ़सोस हुआ सर.,I'm really sorry to hear that sir.
मैं बिलकुल समझता हूँ की जब कुछ ज़रूरी चीज़ टाइम पर नहीं आती तोह कितना उपसेटिंग होता है.,I completely understand how upsetting it is when something important doesn't arrive on time.
मैं आपके आर्डर के बारे में और डिटेल्स इकठ्ठा करता हूँ ताकि मैं इस इशू को जल्दी से सोल्वे कर सकू.,Let me gather some more details about what's going on with your order so I can help resolve this as quickly as possible.
क्या आप मुझे अपना आर्डर नंबर बता सकते हैं?,Could you let me know your order number please?
हाँ मोनीके आपका प्लान वर्चुअल थेरेपी सेशंस के लिए टेलेहेअल्थ सर्विसेज के थ्रू कवरेज देता है.,"Yes Monique, your plan does offer coverage for virtual therapy sessions through Telehealth Services."
यह एक कनविनिएंट ऑप्शन है ख़ास कर आज के डिजिटल आगे में.,"It's a convenient option, especially in today's digital age."
वही कॉस्ट- शेयरिंग रूल्स लागु होते हैं लेकिन यह आपको अपने घर के कम्फर्ट से मेन्टल हेल्थ केयर एक्सेस करने की फ्लेक्सिबिलिटी देता है.,"The same cost-sharing rules apply, but it provides flexibility for accessing Mental Health Care from the comfort of your home."
मैं सिर्फ इमेजिन कर सकता हूँ लेकिन आपकी पर्सिस्टेंस दिखती है की आप अपने कस्टमर के लिए डेडिकेटेड हैं और यह हर किसी के पास नहीं होता.,"I can only imagine, sir, but your persistence shows you're dedicated to your customer, and that's something not everyone has."
मुझे यकीन है की जब पैकेज कल आएगा तब आप सब कुछ ठीक कर पाएंगे.,"I'm confident that once the package arrives tomorrow, you'll be able to smooth things over."
यह बस एक आखरी हर्डल है और मैं यह असोर  करूँगा की आपको हर स्टेप पे सपोर्ट मिले.,"It's just one last hurdle, and I'll make sure you're supported all the way."
मुझे यह अभी फिक्स करना है.,I need this fixed now.
मुझे सच में बहुत खेद है की आपको यह प्रॉब्लम हो रही है.,I'm really sorry to hear that you're experiencing this issue.
और मुझे पता है की यह कितना फ़्रस्ट्रेटिंग होगा ख़ास कर जब मौसम इतना गर्म हो.,"And I know how frustrating it must be, especially with the weather being so hot."
चलिए देखते हैं की हम आपके लिए यह जल्दी से कैसे रेसोल्वे कर सकते हैं.,Let's see what we can do to resolve this for you as quickly as possible.
क्या आप मुझे अपना अकाउंट नंबर या पूरा नाम दे सकते हैं?,Could I please have your account number or full name?
यह अच्छा लगता है.,That sounds good.
क्या मैं इस प्लान में ऑनलाइन एनरोल कर सकता हूँ?,Can I enroll in this plan online?
हाँ आप हमारी वेबसाइट के थ्रू नए प्लान में ऑनलाइन एनरोल कर सकते हैं.,"Yes, you can enroll in a new plan online through our website."
अगर आपको कोई सवाल हो या एनरोलमेंट प्रोसेस में मदद चाहिए हो तोह आप हमारी कस्टमर सर्विस लाइन पर भी कॉल कर सकते हैं.,"If you have any questions or need assistance with the enrollment process, you can also call our customer service line."
और हमारे एजेंट्स आपकी मदद करने के लिए ख़ुशी से तैयार हैं.,And one of our agents will be happy to help you.
बिलकुल मैं आपका जवाब देने के लिए ख़ुशी से तैयार हूँ.,"Certainly, I'd be happy to answer that."
आपके प्लान के साथ आपको प्रिवेंटिव केयर के लिए कम्प्रेहैन्सिव कवरेज मिलती है जिसमे वक्सीनेशन्स स्क्रीनिंग्स और एनुअल चेककुप्स शामिल हैं.,"With your plan, you have comprehensive coverage for preventive care including vaccinations, screenings, and annual checkups."
यह सर्विसेज आम तौर पर १००% कवर्ड होती हैं इसका मतलब है की आपको इनके लिए कोई भी आउट- ऑफ़- पॉकेट कॉस्ट्स नहीं देनी पड़ती.,"These services are generally covered at 100%, meaning you won't have to pay any out-of-pocket costs for them."
हम सप्लाई चैन की दिक्कत का सामना कर रहे हैं.,We have been experiencing supply chain issues.
असुविधा के लिए माफ़ी चाहता हूँ.,I apologize for the inconvenience.
मुझे आर्डर पर एक नोट लगाने दो.,Let me put a note on the order.
अगर कोई अपडेट हो तो क्या हम आपको मैसेज भेज सकते हैं?,Could we text you if there is an update?
हम आपके धैर्य की तारीफ करते हैं.,We do appreciate your patience.
फिर से मिस्टर वल्लास देरी के लिए मुझे बहुत अफ़सोस है.,"Again, Mr. Wallace, I am very sorry for the delay."
अच्छा मुझे उम्मीद है की ये जल्दी पहुँच जायेगा.,"Well, I hope it arrives soon."
क्या आज मैं किसी और चीज़ में आपकी मदद कर सकता हूँ?,Is there anything else I can help you with today?
बिलकुल मैडम!,"Of course, ma'am!"
मुझे आपके लिए इसकी जांच करने में ख़ुशी होगी.,I would be happy to check on that for you.
क्या मुझे आपका लास्ट नाम और टेलीफोन नंबर मिल सकता है?,May I please have your last name and telephone number?
कृपया एक मिनट रखें जब तक मैं आपका आर्डर चेक करून.,Please wait just a moment while I pull up your order.
मुझे आपका आर्डर मिल गया मस. डेविस.,"I found your order, Ms. Davis."
क्या मुझे आपका बिलिंग एड्रेस का ज़िप कोड मिल सकता है?,Could I please have your billing address zip code?
मस. डेविस आपने डाइनिंग रूम सेट आर्डर किया था क्या यह सही है?,"Ms. Davis. You ordered a dining room set, is that correct?"
हमारे सिस्टम के हिसाब से यह अभी ट्रांजिट में है.,Our system shows that it's still in transit.
देरी के लिए मुझे सच में अफ़सोस है.,I am truly sorry for the delay.
सप्लाई चैन की दिक्कत के कारन हमे शिपिंग में प्रॉब्लम हो रही है.,We are experiencing shipping problems due to the supply chain crisis.
मैं वेयरहाउस से अपडेट भेजने की रिक्वेस्ट कर सकता हूँ फिर हम आपको कॉल करके बताएंगे.,"I can make a request to the warehouse to send us an update, then we can call you with the information."
मैं बहुत माफ़ी चाहता हूँ मस. डेविस.,"I am so sorry, Ms. Davis."
मुझे देखने दो की क्या मैं अगले २४ घंटे में आपको अपडेट दे सकता हूँ.,Let me see if I can get you an update in the next 24 hours.
मस. डेविस क्या आज मैं किसी और चीज़ में आपकी मदद कर सकता हूँ?,"Is there anything else I can help you with today, Ms. Davis?"
फिर से शिपिंग की देरी के लिए मुझे बहुत अफ़सोस है.,"Again, I'm extremely sorry for the shipping delay."
मुझे आपकी मदद करने में ख़ुशी होगी.,I would be happy to help you with that.
आप कौनसी बास्केट आर्डर करना चाहेंगे?,Which basket would you like to order?
ठीक है सर.,"All right, sir."
रीगल चॉकलेट बास्केट के दो सिज़ेस अवेलेबल हैं.,We have two sizes for the Regal Chocolate Basket.
आप १०- आइटम गिफ्ट बास्केट लेना चाहेंगे या १६- आइटम डीलक्स गिफ्ट बास्केट?,Would you like the 10-item gift basket or the 16-item deluxe gift basket?
धन्यवाद सर. १६- आइटम बास्केट के साथ क्या आप एक बैलून या कुछ कन्फ़ेट्टी ऐड करना चाहेंगे?,"Thank you, sir. For the 16-item basket, would you like to add a balloon or some confetti?"
क्या मुझे आपका नाम मिल सकता है?,"May I have your name, please?"
क्या आप मुझे इससे स्पेल कर के बता सकते हैं?,Could you spell that for me?
इस जानकारी के लिए धन्यवाद मिस्टर म्क्दोगल.,"Thank you for that information, Mr. McDougall."
क्या मुझे आपका टेलीफोन नंबर एरिया कोड के साथ मिल सकता है?,May I have your telephone number with the area code first?
क्या आप हमें अपना ईमेल एड्रेस दे सकते हैं?,Could you provide us with an email address?
क्या मुझे शिपिंग एड्रेस और रेसिपिएंट का नाम मिल सकता है?,"May I have the shipping address and name of the recipient, please?"
स्ट्रीट का नाम प फॉर पापा है या व् फॉर विक्टर?,Is the street name P for Papa or V for Victor?
धन्यवाद. कन्फर्म करने के लिए आप मौली म्क्दोगल के लिए १६- आइटम रीगल चॉकलेट बास्केट आर्डर कर रहे हैं.,"Thank you. Just to confirm, you are ordering the 16-item Regal Chocolate Basket for Molly McDougall."
आपके आर्डर की टोटल अमाउंट $८९. ९८ है.,The total amount for your order is $89.98.
आप इसका पेमेंट कैसे करना चाहेंगे?,How would you like to pay for that?
ठीक है सर. मैं आपके कार्ड नंबर के लिए रेडी हूँ.,"All right, sir. I am ready for your card number."
मैं नंबर कन्फर्म कर लेता हूँ. यह १२३४- ५६७८- ९०१२- ३४५६ है क्या यह सही है?,Let me just confirm the number. It's 1234-5678-9012-3456. Is that right?
क्या मुझे कार्ड की एक्सपायरी डेट मिल सकती है?,May I have the card expiration date?
धन्यवाद. क्या आप मुझे कार्ड के पीछे वाला सिक्योरिटी कोड बता सकते हैं?,Thank you. Could you tell me the security code on the back of the card?
इसके लिए धन्यवाद. आपका आर्डर रेडी है.,Thank you for that. Your order is all set.
यह ४८ घंटे के अंदर शिप होगा.,It will ship within 48 hours.
आप डिलीवरी ३- ५ वर्किंग डेज में एक्सपेक्ट कर सकते हैं.,You can expect delivery in three to five business days.
ओहो यह सुनके अफ़सोस हुआ.,"Oh, I'm sorry to hear that."
जब आपने पैकेज लिया क्या वह डैमेज था?,Was the package damaged when you received it?
समझ गया. क्या आपके पास अपना आर्डर नंबर अवेलेबल है?,I see. Do you have your order number available?
मैं आपकी बात पूरी तरह समझता हूँ मिस्टर वाल्टों.,"I completely understand, Mr. Walton."
यह है जो मैं कर सकता सकती हूँ.,Here's what I can do.
मैं सीधा शिपिंग फैसिलिटी से संपर्क करूँगा  ताकि आपका पैकेज जल्दी भेज दिया जाए.,I will contact the shipping facility directly to expedite your package.
मैं सीधा शिपिंग फैसिलिटी से संपर्क करूँगा ताकि आपका पैकेज जल्दी भेज दिया जाए.,"Additionally, I will provide you with a 20% discount on your current order."
यह एक तरह से गुडविल का जेस्चर है जो आपको हुई असुविधा के लिए है.,This is a gesture of goodwill for the inconvenience you've experienced.
मैं आपकी बात पूरी तरह समझता  हूँ मिस्टर वाल्टों.,"I completely understand, Mr. Walton."
यह है जो मैं कर सकता हूँ.,Here's what I can do.
मैं सीधा शिपिंग फैसिलिटी से संपर्क करूँगा ताकि आपका पैकेज जल्दी भेज दिया जाए.,I will contact the shipping facility directly to expedite your package.
इसके अलावा मैं आपके करंट आर्डर पर २०% का डिस्काउंट भी दूंगा,"Additionally, I will provide you with a 20% discount on your current order."
यह एक तरह से गुडविल का जेस्चर है जो आपको हुई असुविधा के लिए है.,This is a gesture of goodwill for the inconvenience you've experienced.
मैं पूरी तरह समझता हूँ की यह कितना फ़्रस्ट्रेटिंग हो सकता है.,I completely understand how frustrating that must be.
ऐसा लगता है की थर्मोस्टेट उन चंगेस पर रेस्पोंद नहीं कर रहा जो आप करने की कोशिश कर रहे हैं.,It sounds like the thermostat isn't responding to any of the changes you're trying to make.
चलिए मिलकर कुछ और ट्रबलशूटिंग स्टेप्स तरय करते हैं.,Let's try a few more troubleshooting steps together.
उम्मीद है की हम इसे ठीक से काम करने लगाएंगे.,"Hopefully, we can get it working properly."
क्या यह आपको ठीक लगता है?,Does that sound okay to you?
मैं आपकी परेशानी को पूरी तरह समझता हूँ मिस्टर फेर्गुसन.,"I completely understand your frustration, Mr. Ferguson."
मैं आपके केस को सबसे हाईएस्ट प्रायोरिटी पर ले जाऊंगा,I will escalate your case to the highest priority.
मैं यह सुनिश्चित करूँगा की एक तकनीशियन आपके पास जल्दी से जल्दी अवेलेबल समय पर आये.,I will ensure a technician visits you at the earliest available time.
इसके अलावा मैं यह भी सुनिश्चित करूँगा की आपको इस असुविधा के लिए सर्विस क्रेडिट मिले.,"Additionally, I'll make sure you receive a service credit for the inconvenience this has caused."
बिलकुल मैरी.,"Absolutely, Mary."
जैसे मैंने कहा इसमें सिर्फ एक मिनट लगेगा.,"Like I said, it will only take a minute."
हमारी नयी स्टैण्डर्ड सर्विस कैंपेन सिर्फ $६. ९९ महीने की है.,Our new standard service campaign is only $6.99 a month.
लेकिन क्यूंकि आप एक वफादार कस्टमर हैं मैं आपको पहला महीना फ्री दे सकता हूँ.,"However, since you've been a loyal customer, I can offer you the first month free."
उसके बाद अगली साल के लिए केवल $६. ९९ महीने का चार्ज होगा.,"After that, the price will be only $6.99 a month for the next year."
मैं समझता हूँ मैम.,"I understand, ma'am."
मुझे इस उलझन के लिए बहुत खेद है.,I'm very sorry for the confusion.
मैं समझ सकता हूँ की एक अचानक से चार्ज देखना कितना फ़्रस्ट्रेटिंग हो सकता है.,I can imagine how frustrating it must be to see an unexpected charge.
मैं आपकी मदद करता हूँ इस कन्फूसिओं को दूर करने के लिए.,Let me help clear things up for you.
क्या आप अपने अकाउंट से जुडी ईमेल ईद प्रोवाइड करेंगे?,Could you please provide the email address associated with your account?
ताकि मैं आपके डिटेल्स निकाल सकू.,So I can pull up your details.
मैं एक्सएक्ट अर्रिवाल टाइम गारंटी नहीं कर सकता.,While I can't guarantee an exact arrival time.
मैं इससे अपनी प्रायोरिटी बनाऊंगा की यह सबसे तेज़ डिलीवरी मिले.,I will make it my priority to ensure it gets the fastest possible delivery.
मैं खुद शिपिंग डिपार्टमेंट के साथ फॉलो- उप करूँगा.,I will personally follow up with the shipping department.
और आपको स्टेटस के बारे में अपडेटेड रखूंगा.,And keep you updated on the status.
क्या मैं आपका बेस्ट कांटेक्ट नंबर ले सकता हूँ उपदटेस के लिए?,May I have your best contact number for updates?
यह एक बहुत अच्छा सवाल है.,That's an excellent question.
ग्लोब तरोत्तर प्लान में यूरोप में फ्री रोमिंग शामिल है.,The Globe Trotter plan includes free roaming in Europe.
तोह आप अपने डाटा का उसे कर सकते हैं और कॉल्स कर सकते हैं बिना किसी एक्स्ट्रा चार्ज के.,So you can use your data and make calls without incurring extra charges.
यह रेगुलर ट्रेवलर्स के लिए एक behtareen ऑप्शन है.,It's a great option for frequent travelers.
यह रेगुलर ट्रेवलर्स के लिए एक बेहतरीक्या आगे बढ़ने से न ऑप्शन है. पहले आप और कुछ जानना चाहेंगे?,Is there anything else you'd like to know before we proceed?
यह एक बहुत अच्छा सवाल है.,That's an excellent question.
ग्लोब तरोत्तर प्लान में यूरोप में फ्री रोमिंग शामिल है.,The Globe Trotter plan includes free roaming in Europe.
इसलिए आप अपना डाटा उसे कर सकते हैं और कॉल्स कर सकते हैं बिना किसी एक्स्ट्रा चार्ज के.,So you can use your data and make calls without incurring extra charges.
यह उन लोगों के लिए एक बेहतरीन ऑप्शन है जो अक्सर ट्रेवल करते हैं.,It's a great option for frequent travelers.
आगे बढ़ने से पहले क्या आप और कुछ पूछना चाहेंगे?,Is there anything else you'd like to know before we proceed?
आपको आपके देय डेट से ३ दिन पहले टेक्स्ट रमिंदरस मिलेंगे आगे से.,You'll receive text reminders 3 days before your due date going forward.
लेट पेमेंट फी के लिए मैं कुछ करना चाहता हूँ ताकि मैं आपके लिए इससे ठीक कर सकू.,"As for the late payment fee, I'd like to do something to make this right for you."
क्युकी ऐसा लगता है की यह आपके अकाउंट पर रेयर  ओक्सूररेन्स  है.,Since it seems like this is a rare occurrence on your account.
मुझे देखने दीजिये अगर मैं आपके लिए वो फी वैवे कर सकता हूँ.,Let me see if I can waive that fee for you.
उसके लिए शुक्रिया.,Thank you for that.
मैं वह इनफार्मेशन हमारे तकनीशियन को भेज दूंगा.,I will pass that information along to our technician.
अगर आपको कोई और समस्या हो या एडिशनल मदद की ज़रूरत हो तोह कृपया मुझे सीधा संपर्क करने में हिचकिचाईयेगा मत.,"If you experience any further issues or need additional assistance, please do not hesitate to contact me directly."
दोबारा मेरा नाम माइक है और मैं आपके पेशेंस और अंडरस्टैंडिंग की कदर करताहूँ.,"Again, my name is Mike, and I do appreciate your patience and understanding."
मैं समझताहूँ मिस्टर फेर्गुसन.,"I understand, Mr. Ferguson."
हम सबसे अच्छी सर्विस देने का प्रयास करते हैं और मुझे खेद है की हम उस स्टैण्डर्ड तक नहीं पहुंचे.,"We aim to provide the best service possible, and I regret that we've fallen short."
मैं आपको विश्वास दिलाता हूँ हम इससे जितना जल्दी हो सके सोल्वे करने की पूरी कोशिश कर रहे हैं.,"Let me assure you, we are doing everything we can to resolve this as swiftly as possible."
क्या इस बीच मैं आपकी और किसी बात में मदद कर सकता हूँ?,Is there anything else I can assist you with in the meantime?
शुक्रिया मिस रॉबर्ट्सन.,"Thank you, Miss Robertson."
मैं आपके लिए वह काम कर दूंगा.,I'll take care of that for you.
जैसे मैंने कहा आप अगले महीने के बाद वह चंगेस देख पाएंगे.,"Like I said, you will see those changes after next month."
अगर आपको कोई और सवाल हो तोह कृपया हमारे किसी रिप्रेजेन्टेटिव से संपर्क करने में बिलकुल हिचकिचाइए मत.,"If you have any further questions, please feel free to contact one of our representatives."
क्या आज मैं आपकी और कोई मदद कर सकता हूँ?,Is there anything else I can help you with today?
मैं आपके एरिया में सर्विस की कमी के लिए माफ़ी चाहता   हूँ.,I do apologize for the lack of service in your area.
आज हम शहर के कुछ अलग- अलग हिस्सों में सर्विस इश्यूज का सामना कर रहे हैं.,We have been experiencing some service issues in a few different parts of the city today.
क्या आप मुझे अपना अकाउंट नंबर दे सकते हैं?,Could you please provide me with your account number?
ताकि मैं यह चेक कर सकू की आप उन एरियाज में से किसी में हैं या नहीं.,So I can check if you are located in one of those areas.
यह प्रोग्राम आपको इस महीने का पेमेंट स्किप करने की सुविधा देगा बिना किसी लेट फीस या इंटरेस्ट चार्जेज के.,This program will allow you to skip your payment this month without incurring any late fees or interest charges.
लेकिन आपको बाद में पूरा बैलेंस पाय करने के लिए ज़िम्मेदार होना पड़ेगा.,"However, you will still be responsible for paying the full balance at a later date."
क्या यह आपके लिए काम करेगा?,Does that sound like something that would work for you?
आपके पेशेंस के लिए शुक्रिया.,Thank you for your patience.
मैंने कन्फर्म किया है की दौंगराडिंग से आपके करंट कॉन्ट्रैक्ट पर कोई असर नहीं पड़ेगा.,I've confirmed that downgrading won't affect your current contract.
आप दौंगराडे कर सकते हैं और चंगेस आपके अगले बिलिंग साइकिल में इफ़ेक्ट होंगे.,"You can proceed with the downgrade, and the changes will take effect on your next billing cycle."
क्या हम स्लिम प्लान के लिए दौंगराडे करने का आगे बढ़ें?,Should we proceed with the downgrade to the slim plan?
ओह नहीं मुझे यह सुनके सच में बहुत खेद हुआ.,"Oh no, I'm really sorry to hear that."
मैं समझ सकता हूँ की यह कितना फ़्रस्ट्रेटिंग हो सकता है.,I can imagine how frustrating that must be.
चलिए हम मिलकर इसको सोल्वे करते हैं.,Let's get to the bottom of this together.
क्या आप अपना अकाउंट नंबर या फ़ोन नंबर कन्फर्म कर सकते हैं जो आपके अकाउंट से जुड़ा है?,Could you please confirm your account number or the phone number associated with your account?
ताकि मैं आपके डिटेल्स निकाल सकू.,So I can pull up your details.
हाँ मिस्टर ो'डोन्नेल्ल यह प्लान वेलोसिटी प्लस कहा जाता है.,"Yes, Mr. O'Donnell, the plan is called the Velocity Plus."
यह हमारी सबसे तेज़ सर्विस है.,Which is our fastest service.
असल में यह देश की सबसे तेज़ रेजिडेंशियल इंटरनेट स्पीड है.,"In fact, it is the fastest residential internet speed in the country."
कोई और कंपनी इससे मैच नहीं कर सकती सर.,"No other company can match it, sir."
मुझे पूरा विश्वास है की आप तुरंत फ़र्क़ महसूस करेंगे.,I am confident you will notice the difference right away.
अच्छा अब फैक्ट्री रिसेट का ऑप्शन ढूंढिए.,"Great, now look for an option called factory reset."
यह सब कुछ ओरिजिनल सेटिंग्स पर रिसेट कर देगा.,This will reset everything back to the original settings.
यह किसी भी सॉफ्टवेयर गलीच को दूर कर सकता है जो प्रॉब्लम का कारण बन रहे हैं.,Which might clear out any software glitches that are causing the issue.
याद रखिये यह आपके किये गए किसी भी कस्टम सेटिंग्स को हटा देगा.,Keep in mind this will remove any custom settings you've made.
ुन्देर्टोने यह नेवी या डेनिम के साथ बहुत अच्छा लगता है.,"Undertone, it looks great with navy or denim."
यह स्वेटर एक हाई- क्वालिटी वूल ब्लेंड से बना है जो सॉफ्ट और वार्म है.,This sweater is made of a high-quality wool blend that is soft and warm.
अगर आप अभी भी सूरे नहीं हैं तोह हम फ्री एक्सचैंजेस ऑफर करते हैं.,"If you're still unsure, we offer free exchanges."
तोह अगर आप अपना मैं बदल लेते हैं तोह आप इसे किसी और कलर के लिए एक्सचेंज कर सकते हैं.,So you can always exchange it for a different color if you change your mind.
चिंता मत कीजिये सर.,"Not to worry, sir."
अगर आपके पास अपनी अकाउंट इनफार्मेशन नहीं है तोह हम एक अलग तरीका अपना सकते हैं.,"If you don't have your account information, we can try a different approach."
मैं आपके रजिस्टर्ड ईमेल एड्रेस पर एक टेम्पररी पासवर्ड भेज सकता हूँ.,I can send a temporary password to your registered email address.
जब आप इसे प्राप्त करेंगे तब आप अपने अकाउंट को एक्सेस कर पाएंगे और एक नया पासवर्ड सेट कर सकते हैं.,"Once you receive it, you'll be able to access your account and set a new password."
मैं सच में आपका शुक्रिया ऐडा करता  हूँ की आपने मुझ पर भरोसा दिखाया.,I really appreciate you trusting me with this.
आप बहुत ज़्यादा पेशेंट रहे हैं और हम बस फिनिश लाइन के करीब हैं.,"You've been more than patient, and we're almost at the finish line."
मैं आपके आर्डर पर नज़र रखूंगा   और कल खुद आप से संपर्क करूँगा  ताकि यह कन्फर्म कर सकूं की डिलीवरी हो गयी है.,I'll keep an eye on your order and personally reach out tomorrow to confirm it's been delivered.
क्या यह ठीक लग रहा है?,Does that sound all right?
मैं आपकी चिंता समझता  हूँ.,I understand your concern.
मुझे यकीं है की जब नया यूनिट सेट उप हो जायेगा सब कुछ बिलकुल ठीक काम करेगा.,"I'm sure once the new unit is set up, everything will be working perfectly."
और आपको फिर से इस बात की चिंता नहीं करनी पड़ेगी.,And you won't have to worry about it again.
मैं भी आप से संपर्क में रहूँगा  ताकि आपको फॉलो उप करने की ज़रूरत न पड़े.,"I'll also be in touch to check in, so you won't have to follow up."
क्या यह ठीक लग रहा है?,Does that sound all right?
अच्छा मैंने कम्प्लीमेंटरी अपग्रेड का नोट ले लिया है.,"Great, I've made a note of the complimentary upgrade."
और मैं आपके हमें एक और चांस देने की इच्छा की कदर करता  हूँ.,And I appreciate your willingness to give us another chance.
